"","Fine_STE","Medium_STE","Coarse_STE","OTU_MetricCalc","Mapped.Taxon.Serial.Number","Taxon","Taxon.Serial.Number","Phylum","Subphylum","Superclass","Class","Subclass","Infraclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Subfamily","Custom.Subfamily","Tribe","Genus.Group","Subtribe","Genus","Species.Group","Subgenus","Species","Subspecies","Exclusion_reason","Excluded","Coarse_STE_rank","Medium_STE_rank","Fine_STE_rank","Coarse_STE_attribute_use","Medium_STE_attribute_use","Fine_STE_attribute_use","Coarse_STE_HBI_use","Medium_STE_HBI_use","Fine_STE_HBI_use","Coarse_STE_MTI_use","Medium_STE_MTI_use","Fine_STE_MTI_use","Coarse_STE_FSBI_use","Medium_STE_FSBI_use","Fine_STE_FSBI_use","Coarse_STE_FSBI_use2","Medium_STE_FSBI_use2","Fine_STE_FSBI_use2"
"1047","Procladius","Procladiini","Chironomidae","Procladius",128277,"Procladius",128277,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Tanypodinae","","Procladiini","","","Procladius","","","","",NA,NA,"Family","Tribe","Genus","Chironomidae","Tanypodinae","Procladius","Chironomidae","Tanypodinae","Procladius",NA,NA,"Procladius",NA,NA,NA,NA,NA,NA
"1048","Proclinopyga","Proclinopyga","Proclinopyga","Proclinopyga",135887,"Proclinopyga",135887,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Brachycera","Muscomorpha","","Empididae","Clinocerinae","","","","","Proclinopyga","","","","","Empididae",FALSE,"Genus","Genus","Genus","Proclinopyga","Proclinopyga","Proclinopyga","Empididae","Empididae","Empididae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1049","Proclinopyga","Proclinopyga","Proclinopyga","Proclinopyga",135887,"Empididae Genus B",-132,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Brachycera","Muscomorpha","","Empididae","Clinocerinae","","","","","Proclinopyga","","","","","Empididae",FALSE,"Genus","Genus","Genus","Proclinopyga","Proclinopyga","Proclinopyga","Empididae","Empididae","Empididae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1050","Prodiamesa","Prodiamesinae","Chironomidae","Prodiamesa",128452,"Prodiamesa",128452,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Prodiamesinae","","","","","Prodiamesa","","","","",NA,NA,"Family","Subfamily","Genus","Chironomidae","Chironomidae","Prodiamesa","Chironomidae","Chironomidae","Prodiamesa",NA,NA,"Prodiamesa",NA,NA,NA,NA,NA,NA
"1051","Prodiamesinae","Prodiamesinae","Chironomidae","Prodiamesinae",128437,"Prodiamesinae",128437,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Prodiamesinae","","","","","","","","","",NA,NA,"Family","Subfamily","Subfamily","Chironomidae","Chironomidae","Chironomidae","Chironomidae","Chironomidae","Chironomidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1052","Promoresia","Promoresia","Promoresia","Promoresia",114229,"Promoresia",114229,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Polyphaga","Elateriformia","Byrrhoidea","Elmidae","","","","","","Promoresia","","","","",NA,NA,"Genus","Genus","Genus","Elmidae","Elmidae","Elmidae","Elmidae","Elmidae","Elmidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1053","Prostoma","Prostoma","Prostoma","Prostoma",57577,"Prostoma",57577,"Nemertea","","","Enopla","","","","Hoplonemertea","Monostilifera","","","Tetrastemmatidae","","","","","","Prostoma","","","","",NA,NA,"Genus","Genus","Genus","Prostoma","Prostoma","Prostoma","Nemertea","Nemertea","Nemertea",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1054","Prostoma","Prostoma","Prostoma","Prostoma",57577,"Nemertea",57411,"Nemertea","","","Enopla","","","","Hoplonemertea","Monostilifera","","","Tetrastemmatidae","","","","","","Prostoma","","","","",NA,NA,"Genus","Genus","Genus","Prostoma","Prostoma","Prostoma","Nemertea","Nemertea","Nemertea",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1055","Protanypus","Protanypini","Chironomidae","Protanypus",128431,"Protanypus",128431,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Diamesinae","","Protanypini","","","Protanypus","","","","",NA,NA,"Family","Tribe","Genus","Chironomidae","Diamesinae","Protanypus","Chironomidae","Chironomidae","Chironomidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1056","Protoptila","Protoptila","Protoptila","Protoptila",115221,"Protoptila",115221,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Glossosomatoidea","Glossosomatidae","Protoptilinae","","","","","Protoptila","","","","",NA,NA,"Genus","Genus","Genus","Protoptila","Protoptila","Protoptila","Protoptila","Protoptila","Protoptila","Protoptila","Protoptila","Protoptila","Protoptila","Protoptila","Protoptila","Protoptila","Protoptila","Protoptila"
"1057","Protzia","Acari","Acari","Protzia",83170,"Protzia exima",83171,"Arthropoda","Chelicerata","","Arachnida","Acari","","Acariformes","Trombidiformes","Prostigmata","","","Protziidae","","","","","","Protzia","","","","","Acari",FALSE,"Subclass","Subclass","Genus","Acari","Acari","Protzia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1058","Protzia","Acari","Acari","Protzia",83170,"Protzia",83170,"Arthropoda","Chelicerata","","Arachnida","Acari","","Acariformes","Trombidiformes","Prostigmata","","","Protziidae","","","","","","Protzia","","","","","Acari",FALSE,"Subclass","Subclass","Genus","Acari","Acari","Protzia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1059","Psectrocladius","Orthocladiinae","Chironomidae","Psectrocladius",129018,"Psectrocladius",129018,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Orthocladiinae","","","","","Psectrocladius","","","","",NA,NA,"Family","Subfamily","Genus","Chironomidae","Orthocladiinae","Psectrocladius","Chironomidae","Orthocladiinae","Psectrocladius",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1060","Psectrotanypus","Macropelopiini","Chironomidae","Psectrotanypus",128048,"Psectrotanypus",128048,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Tanypodinae","","Macropelopiini","","","Psectrotanypus","","","","",NA,NA,"Family","Tribe","Genus","Chironomidae","Macropelopiini","Psectrotanypus","Chironomidae","Tanypodinae","Psectrotanypus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1061","Psephenidae","Psephenidae","Psephenidae","Psephenidae",114069,"Psephenidae",114069,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Polyphaga","Elateriformia","Byrrhoidea","Psephenidae","","","","","","","","","","",NA,NA,"Family","Family","Family","Psephenidae","Psephenidae","Psephenidae","Psephenidae","Psephenidae","Psephenidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1062","Psephenidae","Psephenidae","Psephenidae","Psephenidae",114069,"Dicranopselaphus",114091,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Polyphaga","Elateriformia","Byrrhoidea","Psephenidae","","","","","","","","","","",NA,NA,"Family","Family","Family","Psephenidae","Psephenidae","Psephenidae","Psephenidae","Psephenidae","Psephenidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1063","Psephenus","Psephenus","Psephenus","Psephenus",114070,"Psephenus falli",114074,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Polyphaga","Elateriformia","Byrrhoidea","Psephenidae","Psepheninae","","","","","Psephenus","","","","",NA,NA,"Genus","Genus","Genus","Psephenidae","Psephenidae","Psephenidae","Psephenus","Psephenus","Psephenus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1064","Psephenus","Psephenus","Psephenus","Psephenus",114070,"Psephenus",114070,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Polyphaga","Elateriformia","Byrrhoidea","Psephenidae","Psepheninae","","","","","Psephenus","","","","",NA,NA,"Genus","Genus","Genus","Psephenidae","Psephenidae","Psephenidae","Psephenus","Psephenus","Psephenus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1065","Pseudochironomus","Pseudochironomini","Chironomidae","Pseudochironomus",129851,"Pseudochironomus",129851,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Chironominae","","Pseudochironomini","","","Pseudochironomus","","","","",NA,NA,"Family","Tribe","Genus","Chironomidae","Chironominae","Pseudochironomus","Chironomidae","Chironomidae","Pseudochironomus",NA,NA,"Pseudochironomus",NA,NA,NA,NA,NA,NA
"1066","Pseudodiamesa","Diamesini","Chironomidae","Pseudodiamesa",128416,"Pseudodiamesa",128416,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Diamesinae","","Diamesini","","","Pseudodiamesa","","","","",NA,NA,"Family","Tribe","Genus","Chironomidae","Diamesinae","Pseudodiamesa","Chironomidae","Diamesini","Pseudodiamesa",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1067","Pseudofeltria","Acari","Acari","Pseudofeltria",83410,"Pseudofeltria",83410,"Arthropoda","Chelicerata","","Arachnida","Acari","","Acariformes","Trombidiformes","Prostigmata","","","Pionidae","","","","","","Pseudofeltria","","","","","Acari",FALSE,"Subclass","Subclass","Genus","Acari","Acari","Pionidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1068","Pseudolimnophila","Pseudolimnophila","Pseudolimnophila","Pseudolimnophila",120365,"Pseudolimnophila",120365,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Tipulomorpha","","Tipulidae","Limoniinae","","Hexatomini","","","Pseudolimnophila","","","","",NA,NA,"Genus","Genus","Genus","Pseudolimnophila","Pseudolimnophila","Pseudolimnophila","Diptera","Diptera","Diptera",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1069","Pseudorthocladius","Orthocladiinae","Chironomidae","Pseudorthocladius",129052,"Pseudorthocladius",129052,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Orthocladiinae","","","","","Pseudorthocladius","","","","",NA,NA,"Family","Subfamily","Genus","Chironomidae","Orthocladiinae","Pseudorthocladius","Chironomidae","Orthocladiinae","Pseudorthocladius",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1070","Pseudosmittia","Orthocladiinae","Chironomidae","Pseudosmittia",129071,"Pseudosmittia",129071,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Orthocladiinae","","","","","Pseudosmittia","","","","",NA,NA,"Family","Subfamily","Genus","Chironomidae","Orthocladiinae","Pseudosmittia","Chironomidae","Orthocladiinae","Orthocladiinae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1071","Pseudostenophylax","Pseudostenophylax","Pseudostenophylax","Pseudostenophylax",115989,"Pseudostenophylax",115989,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Limnephiloidea","Limnephilidae","Pseudostenophylacinae","","","","","Pseudostenophylax","","","","",NA,NA,"Genus","Genus","Genus","Limnephilidae","Limnephilidae","Limnephilidae","Limnephilidae","Limnephilidae","Limnephilidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1072","Pseudostenophylax","Pseudostenophylax","Pseudostenophylax","Pseudostenophylax",115989,"Pseudostenophylax edwardsi",115993,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Limnephiloidea","Limnephilidae","Pseudostenophylacinae","","","","","Pseudostenophylax","","","","",NA,NA,"Genus","Genus","Genus","Limnephilidae","Limnephilidae","Limnephilidae","Limnephilidae","Limnephilidae","Limnephilidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1073","Psilometriocnemus","Orthocladiinae","Chironomidae","Psilometriocnemus",129083,"Psilometriocnemus triannulatus",129084,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Orthocladiinae","","","","","Psilometriocnemus","","","","",NA,NA,"Family","Subfamily","Genus","Chironomidae","Orthocladiinae","Psilometriocnemus","Chironomidae","Orthocladiinae","Orthocladiinae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1074","Psilometriocnemus","Orthocladiinae","Chironomidae","Psilometriocnemus",129083,"Psilometriocnemus",129083,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Orthocladiinae","","","","","Psilometriocnemus","","","","",NA,NA,"Family","Subfamily","Genus","Chironomidae","Orthocladiinae","Psilometriocnemus","Chironomidae","Orthocladiinae","Orthocladiinae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1075","Psychodidae","Psychodidae","Psychodidae","Psychodidae",125351,"Psychodidae",125351,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Psychodomorpha","","Psychodidae","","","","","","","","","","",NA,NA,"Family","Family","Family","Psychodidae","Psychodidae","Psychodidae","Psychodidae","Psychodidae","Psychodidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1076","Psychodidae","Psychodidae","Psychodidae","Psychodidae",125351,"Psychodinae",125391,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Psychodomorpha","","Psychodidae","","","","","","","","","","",NA,NA,"Family","Family","Family","Psychodidae","Psychodidae","Psychodidae","Psychodidae","Psychodidae","Psychodidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1077","Psychodini","Psychodini","Psychodini","Psychodini",-263,"Psychoda",125468,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Psychodomorpha","","Psychodidae","Psychodinae","","Psychodini","","","","","","","",NA,NA,"Tribe","Tribe","Tribe","Psychodidae","Psychodidae","Psychodidae","Psychodidae","Psychodidae","Psychodidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1078","Psychodini","Psychodini","Psychodini","Psychodini",-263,"Psychodini",-263,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Psychodomorpha","","Psychodidae","Psychodinae","","Psychodini","","","","","","","",NA,NA,"Tribe","Tribe","Tribe","Psychodidae","Psychodidae","Psychodidae","Psychodidae","Psychodidae","Psychodidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1079","Psychoglypha","Psychoglypha","Psychoglypha","Psychoglypha",115974,"Psychoglypha",115974,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Limnephiloidea","Limnephilidae","Limnephilinae","","Chilostigmini","","","Psychoglypha","","","","",NA,NA,"Genus","Genus","Genus","Psychoglypha","Psychoglypha","Psychoglypha","Limnephilinae","Limnephilinae","Limnephilinae","Psychoglypha","Psychoglypha","Psychoglypha",NA,NA,NA,"Psychoglypha","Psychoglypha","Psychoglypha"
"1080","Psychoglypha bella","Psychoglypha","Psychoglypha","Psychoglypha bella",115977,"Psychoglypha bella",115977,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Limnephiloidea","Limnephilidae","Limnephilinae","","Chilostigmini","","","Psychoglypha","","","bella","",NA,NA,"Genus","Genus","Species","Psychoglypha","Psychoglypha","Psychoglypha bella","Limnephilinae","Limnephilinae","Limnephilinae","Psychoglypha","Psychoglypha","Psychoglypha",NA,NA,NA,"Psychoglypha","Psychoglypha","Psychoglypha"
"1081","Psychoglypha subborealis","Psychoglypha","Psychoglypha","Psychoglypha subborealis",115981,"Psychoglypha subborealis",115981,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Limnephiloidea","Limnephilidae","Limnephilinae","","Chilostigmini","","","Psychoglypha","","","subborealis","",NA,NA,"Genus","Genus","Species","Psychoglypha","Psychoglypha","Psychoglypha subborealis","Limnephilinae","Limnephilinae","Limnephilinae","Psychoglypha","Psychoglypha","Psychoglypha",NA,NA,NA,"Psychoglypha","Psychoglypha","Psychoglypha"
"1082","Psychomyia","Psychomyia","Psychomyia","Psychomyia",115335,"Psychomyia",115335,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Hydropsychoidea","Psychomyiidae","Psychomyiinae","","","","","Psychomyia","","","","",NA,NA,"Genus","Genus","Genus","Psychomyia","Psychomyia","Psychomyia",NA,NA,NA,"Psychomyia","Psychomyia","Psychomyia",NA,NA,NA,"Psychomyia","Psychomyia","Psychomyia"
"1083","Psychomyia","Psychomyia","Psychomyia","Psychomyia",115335,"Psychomyia flavida",115341,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Hydropsychoidea","Psychomyiidae","Psychomyiinae","","","","","Psychomyia","","","","",NA,NA,"Genus","Genus","Genus","Psychomyia","Psychomyia","Psychomyia",NA,NA,NA,"Psychomyia","Psychomyia","Psychomyia",NA,NA,NA,"Psychomyia","Psychomyia","Psychomyia"
"1084","Psychomyiidae","Psychomyiidae","Psychomyiidae","Psychomyiidae",115334,"Psychomyiidae",115334,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Hydropsychoidea","Psychomyiidae","","","","","","","","","","",NA,NA,"Family","Family","Family","Trichoptera","Trichoptera","Trichoptera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1085","Pteronarcella","Pteronarcella","Pteronarcella","Pteronarcella",102485,"Pteronarcella regularis",102487,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Plecoptera","Systellognatha","","","Pteronarcyidae","Pteronarcyinae","","Pteronarcellini","","","Pteronarcella","","","","",NA,NA,"Genus","Genus","Genus","Pteronarcella","Pteronarcella","Pteronarcella",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pteronarcella","Pteronarcella","Pteronarcella"
"1086","Pteronarcella","Pteronarcella","Pteronarcella","Pteronarcella",102485,"Pteronarcella badia",102486,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Plecoptera","Systellognatha","","","Pteronarcyidae","Pteronarcyinae","","Pteronarcellini","","","Pteronarcella","","","","",NA,NA,"Genus","Genus","Genus","Pteronarcella","Pteronarcella","Pteronarcella",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pteronarcella","Pteronarcella","Pteronarcella"
"1087","Pteronarcella","Pteronarcella","Pteronarcella","Pteronarcella",102485,"Pteronarcella",102485,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Plecoptera","Systellognatha","","","Pteronarcyidae","Pteronarcyinae","","Pteronarcellini","","","Pteronarcella","","","","",NA,NA,"Genus","Genus","Genus","Pteronarcella","Pteronarcella","Pteronarcella",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pteronarcella","Pteronarcella","Pteronarcella"
"1088","Pteronarcyidae","Pteronarcyidae","Pteronarcyidae","Pteronarcyidae",102470,"Pteronarcyidae",102470,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Plecoptera","Systellognatha","","","Pteronarcyidae","","","","","","","","","","",NA,NA,"Family","Family","Family","Pteronarcyidae","Pteronarcyidae","Pteronarcyidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1089","Pteronarcys","Pteronarcys","Pteronarcys","Pteronarcys",102471,"Pteronarcys",102471,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Plecoptera","Systellognatha","","","Pteronarcyidae","Pteronarcyinae","","Pteronarcyini","","","Pteronarcys","","","","",NA,NA,"Genus","Genus","Genus","Pteronarcys","Pteronarcys","Pteronarcys",NA,NA,NA,NA,NA,NA,"Pteronarcys","Pteronarcys","Pteronarcys","Pteronarcys","Pteronarcys","Pteronarcys"
"1090","Pteronarcys californica","Pteronarcys californica","Pteronarcys californica","Pteronarcys californica",102473,"Pteronarcys californica",102473,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Plecoptera","Systellognatha","","","Pteronarcyidae","Pteronarcyinae","","Pteronarcyini","","","Pteronarcys","","","californica","",NA,NA,"Species","Species","Species","Pteronarcys californica","Pteronarcys californica","Pteronarcys californica",NA,NA,NA,"Pteronarcys californica","Pteronarcys californica","Pteronarcys californica","Pteronarcys californica","Pteronarcys californica","Pteronarcys californica","Pteronarcys californica","Pteronarcys californica","Pteronarcys californica"
"1091","Pteronarcys dorsata","Pteronarcys dorsata","Pteronarcys dorsata","Pteronarcys dorsata",102478,"Pteronarcys dorsata",102478,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Plecoptera","Systellognatha","","","Pteronarcyidae","Pteronarcyinae","","Pteronarcyini","","","Pteronarcys","","","dorsata","",NA,NA,"Species","Species","Species","Pteronarcys dorsata","Pteronarcys dorsata","Pteronarcys dorsata",NA,NA,NA,NA,NA,NA,"Pteronarcys","Pteronarcys","Pteronarcys","Pteronarcys dorsata","Pteronarcys dorsata","Pteronarcys dorsata"
"1092","Pteronarcys princeps","Pteronarcys princeps","Pteronarcys princeps","Pteronarcys princeps",102484,"Pteronarcys princeps",102484,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Plecoptera","Systellognatha","","","Pteronarcyidae","Pteronarcyinae","","Pteronarcyini","","","Pteronarcys","","","princeps","",NA,NA,"Species","Species","Species","Pteronarcys princeps","Pteronarcys princeps","Pteronarcys princeps",NA,NA,NA,NA,NA,NA,"Pteronarcys","Pteronarcys","Pteronarcys","Pteronarcys princeps","Pteronarcys princeps","Pteronarcys princeps"
"1093","Ptilodactylidae","Ptilodactylidae","Ptilodactylidae","Ptilodactylidae",114265,"Ptilodactylidae",114265,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Polyphaga","Elateriformia","Byrrhoidea","Ptilodactylidae","","","","","","","","","","",NA,NA,"Family","Family","Family","Coleoptera","Coleoptera","Coleoptera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1094","Ptilostomis","Ptilostomis","Ptilostomis","Ptilostomis",115868,"Ptilostomis",115868,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Phryganeoidea","Phryganeidae","Phryganeinae","","","","","Ptilostomis","","","","",NA,NA,"Genus","Genus","Genus","Ptilostomis","Ptilostomis","Ptilostomis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1095","Ptychoptera","Ptychoptera","Ptychoptera","Ptychoptera",125786,"Ptychoptera",125786,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Ptychopteromorpha","","Ptychopteridae","Ptychopterinae","","","","","Ptychoptera","","","","",NA,NA,"Genus","Genus","Genus","Ptychoptera","Ptychoptera","Ptychoptera","Ptychoptera","Ptychoptera","Ptychoptera",NA,NA,NA,NA,NA,NA,"Ptychoptera","Ptychoptera","Ptychoptera"
"1096","Ptychopteridae","Ptychopteridae","Ptychopteridae","Ptychopteridae",125763,"Ptychopteridae",125763,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Ptychopteromorpha","","Ptychopteridae","","","","","","","","","","",NA,NA,"Family","Family","Family","Nematocera","Nematocera","Nematocera","Ptychopteridae","Ptychopteridae","Ptychopteridae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1097","Quistradrilus","Naididae","Oligochaeta","Quistradrilus",68793,"Quistadrilus multisetosus",974772,"Annelida","","","Clitellata","Oligochaeta","","","Tubificida","","","","Naididae","Tubificinae","","","","","Quistradrilus","","","","",NA,NA,"Subclass","Family","Genus","Oligochaeta","Naididae","Quistradrilus","Oligochaeta","Oligochaeta","Oligochaeta",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1098","Radix","Radix","Lymnaeidae","Radix",76525,"Radix auricularia",76526,"Mollusca","","","Gastropoda","","","","Basommatophora","","","","Lymnaeidae","","","","","","Radix","","","","",NA,NA,"Family","Genus","Genus","Lymnaeidae","Lymnaeidae","Lymnaeidae","Lymnaeidae","Lymnaeidae","Lymnaeidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1099","Ramellogammarus","Ramellogammarus","Ramellogammarus","Ramellogammarus",93953,"Ramellogammarus",93953,"Arthropoda","Crustacea","","Malacostraca","Eumalacostraca","","Peracarida","Amphipoda","Gammaridea","","","Anisogammaridae","","","","","","Ramellogammarus","","","","",NA,NA,"Genus","Genus","Genus","Ramellogammarus","Ramellogammarus","Ramellogammarus","Amphipoda","Amphipoda","Amphipoda",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1100","Rhabdomastix","Rhabdomastix","Rhabdomastix","Rhabdomastix",120968,"Rhabdomastix",120968,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Tipulomorpha","","Tipulidae","Limoniinae","","Eriopterini","","","Rhabdomastix","","","","",NA,NA,"Genus","Genus","Genus","Rhabdomastix","Rhabdomastix","Rhabdomastix","Rhabdomastix","Rhabdomastix","Rhabdomastix","Rhabdomastix","Rhabdomastix","Rhabdomastix","Rhabdomastix","Rhabdomastix","Rhabdomastix","Rhabdomastix","Rhabdomastix","Rhabdomastix"
"1101","Rhabdomastix","Rhabdomastix","Rhabdomastix","Rhabdomastix",120968,"Rhabdomastix Fascigera Group",-32,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Tipulomorpha","","Tipulidae","Limoniinae","","Eriopterini","","","Rhabdomastix","","","","",NA,NA,"Genus","Genus","Genus","Rhabdomastix","Rhabdomastix","Rhabdomastix","Rhabdomastix","Rhabdomastix","Rhabdomastix","Rhabdomastix","Rhabdomastix","Rhabdomastix","Rhabdomastix","Rhabdomastix","Rhabdomastix","Rhabdomastix","Rhabdomastix","Rhabdomastix"
"1102","Rhabdomastix","Rhabdomastix","Rhabdomastix","Rhabdomastix",120968,"Rhabdomastix (Rhabdomastix)",-260,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Tipulomorpha","","Tipulidae","Limoniinae","","Eriopterini","","","Rhabdomastix","","","","",NA,NA,"Genus","Genus","Genus","Rhabdomastix","Rhabdomastix","Rhabdomastix","Rhabdomastix","Rhabdomastix","Rhabdomastix","Rhabdomastix","Rhabdomastix","Rhabdomastix","Rhabdomastix","Rhabdomastix","Rhabdomastix","Rhabdomastix","Rhabdomastix","Rhabdomastix"
"1103","Rhabdomastix (Lurdia)","Rhabdomastix (Lurdia)","Rhabdomastix (Lurdia)","Rhabdomastix (Lurdia)",-261,"Rhabdomastix (Lurdia)",-261,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Tipulomorpha","","Tipulidae","Limoniinae","","Eriopterini","","","Rhabdomastix","","Lurdia","","",NA,NA,"Subgenus","Subgenus","Subgenus","Rhabdomastix (Lurdia)","Rhabdomastix (Lurdia)","Rhabdomastix (Lurdia)","Rhabdomastix","Rhabdomastix","Rhabdomastix","Rhabdomastix","Rhabdomastix","Rhabdomastix","Rhabdomastix","Rhabdomastix","Rhabdomastix","Rhabdomastix","Rhabdomastix","Rhabdomastix"
